brand,address,description,founding_year,num_of_products
Merit Vco,Address for Merit Vco,Description for Merit Vco,1949,6
Spc,Address for Spc,Description for Spc,1991,10
Ayurvedic Technology,Address for Ayurvedic Technology,Description for Ayurvedic Technology,1916,3
Yoni,Address for Yoni,Description for Yoni,1912,76
109°F,Address for 109°F,Description for 109°F,1921,16
National Gardens,Address for National Gardens,Description for National Gardens,1941,39
Hansaplast,Address for Hansaplast,Description for Hansaplast,1988,10
Piknik,Address for Piknik,Description for Piknik,1984,48
OGA,Address for OGA,Description for OGA,1900,43
mJOY,Address for mJOY,Description for mJOY,1925,88
EXPLORE CUISINE,Address for EXPLORE CUISINE,Description for EXPLORE CUISINE,1973,78
Paris,Address for Paris,Description for Paris,1939,18
Silicone ,Address for Silicone ,Description for Silicone ,2004,78
NectWorks Honey,Address for NectWorks Honey,Description for NectWorks Honey,1974,21
Murugesan,Address for Murugesan,Description for Murugesan,1950,30
Nonandrai Bholanath,Address for Nonandrai Bholanath,Description for Nonandrai Bholanath,1958,16
Double Pagoda,Address for Double Pagoda,Description for Double Pagoda,2015,14
Muscleblaze,Address for Muscleblaze,Description for Muscleblaze,1922,79
Goldrops,Address for Goldrops,Description for Goldrops,2015,25
4700BC,Address for 4700BC,Description for 4700BC,1942,93
