brand,address,description,founding_year,num_of_products
Sri Sri Tattva,Address for Sri Sri Tattva,Description for Sri Sri Tattva,1950,31
Green apple,Address for Green apple,Description for Green apple,1916,34
Quickee'S,Address for Quickee'S,Description for Quickee'S,1916,39
Rampura,Address for Rampura,Description for Rampura,1936,48
Germisol,Address for Germisol,Description for Germisol,1976,9
Dr. Morepen,Address for Dr. Morepen,Description for Dr. Morepen,1934,70
Tata Tea Premium,Address for Tata Tea Premium,Description for Tata Tea Premium,1923,23
Cocoland,Address for Cocoland,Description for Cocoland,1925,69
Vivel,Address for Vivel,Description for Vivel,1993,0
Puma,Address for Puma,Description for Puma,1987,62
Friends,Address for Friends,Description for Friends,1977,63
Fazlani Foods,Address for Fazlani Foods,Description for Fazlani Foods,1962,37
Mortein,Address for Mortein,Description for Mortein,2021,5
Coca-Cola,Address for Coca-Cola,Description for Coca-Cola,1988,5
Munchilicious Granola ,Address for Munchilicious Granola ,Description for Munchilicious Granola ,1967,87
Tata Tea Chakra,Address for Tata Tea Chakra,Description for Tata Tea Chakra,1928,20
Jabson,Address for Jabson,Description for Jabson,2004,80
OrientAsian,Address for OrientAsian,Description for OrientAsian,1990,82
Himalaya Pet Care,Address for Himalaya Pet Care,Description for Himalaya Pet Care,1985,78
Bhavi,Address for Bhavi,Description for Bhavi,2007,34
Dr. Patkars,Address for Dr. Patkars,Description for Dr. Patkars,2007,4
Indica,Address for Indica,Description for Indica,1993,79
Candyman,Address for Candyman,Description for Candyman,1960,12
Nycil,Address for Nycil,Description for Nycil,1956,46
Faces,Address for Faces,Description for Faces,1986,68
Iceland,Address for Iceland,Description for Iceland,1951,45
Lovely Bake Studio,Address for Lovely Bake Studio,Description for Lovely Bake Studio,1964,26
The Spice Club,Address for The Spice Club,Description for The Spice Club,1914,92
Foresta Organics,Address for Foresta Organics,Description for Foresta Organics,1999,1
Phy,Address for Phy,Description for Phy,2008,69
Morpheme,Address for Morpheme,Description for Morpheme,1960,31
Spray Lite,Address for Spray Lite,Description for Spray Lite,1928,65
Khadi Meghdoot ,Address for Khadi Meghdoot ,Description for Khadi Meghdoot ,1973,81
Mentos,Address for Mentos,Description for Mentos,1923,3
Natures Plus,Address for Natures Plus,Description for Natures Plus,1902,83
Matilde Vicenzi,Address for Matilde Vicenzi,Description for Matilde Vicenzi,2007,76
Margo,Address for Margo,Description for Margo,1955,89
Soultree Ayurvedic,Address for Soultree Ayurvedic,Description for Soultree Ayurvedic,2005,9
Dana,Address for Dana,Description for Dana,2017,58
Sol,Address for Sol,Description for Sol,2013,67
Center Fruit,Address for Center Fruit,Description for Center Fruit,1901,23
Exit No Entry,Address for Exit No Entry,Description for Exit No Entry,1973,26
Master,Address for Master,Description for Master,1984,85
Shubhkart,Address for Shubhkart,Description for Shubhkart,1951,1
Swiss Beauty,Address for Swiss Beauty,Description for Swiss Beauty,1988,47
GO CHOCO,Address for GO CHOCO,Description for GO CHOCO,1919,75
Trident Spectra,Address for Trident Spectra,Description for Trident Spectra,1951,53
President,Address for President,Description for President,2016,82
mother dairy,Address for mother dairy,Description for mother dairy,1912,96
TrueSouth,Address for TrueSouth,Description for TrueSouth,1925,42
Roasty Tasty,Address for Roasty Tasty,Description for Roasty Tasty,1944,58
X-MEN,Address for X-MEN,Description for X-MEN,1983,53
Spring Fest,Address for Spring Fest,Description for Spring Fest,1907,79
Falcon,Address for Falcon,Description for Falcon,2002,63
Veekes & Company,Address for Veekes & Company,Description for Veekes & Company,1913,20
LuvIt,Address for LuvIt,Description for LuvIt,2001,89
Ocean,Address for Ocean,Description for Ocean,1992,68
Namhya,Address for Namhya,Description for Namhya,1957,78
QIPS,Address for QIPS,Description for QIPS,2015,51
RAS CHEKKU OIL,Address for RAS CHEKKU OIL,Description for RAS CHEKKU OIL,1989,75
Faber castell,Address for Faber castell,Description for Faber castell,2018,50
Eco Valley ,Address for Eco Valley ,Description for Eco Valley ,1920,6
Beardo,Address for Beardo,Description for Beardo,2013,65
Nutro,Address for Nutro,Description for Nutro,1925,42
Magnus,Address for Magnus,Description for Magnus,1943,96
Clean Planet,Address for Clean Planet,Description for Clean Planet,2017,65
Yakult,Address for Yakult,Description for Yakult,2019,91
Arata Zero Chemicals,Address for Arata Zero Chemicals,Description for Arata Zero Chemicals,1912,20
Heidi,Address for Heidi,Description for Heidi,1992,41
Vauva,Address for Vauva,Description for Vauva,1993,3
Nourish You,Address for Nourish You,Description for Nourish You,1930,37
Morning Fresh,Address for Morning Fresh,Description for Morning Fresh,1960,18
marshmallow,Address for marshmallow,Description for marshmallow,1914,93
Sidhi,Address for Sidhi,Description for Sidhi,1968,23
Grand Sweets,Address for Grand Sweets,Description for Grand Sweets,1932,1
Pet king,Address for Pet king,Description for Pet king,2012,5
Nutribears,Address for Nutribears,Description for Nutribears,2017,88
Stonesoup,Address for Stonesoup,Description for Stonesoup,2020,72
Episoft,Address for Episoft,Description for Episoft,1954,5
Dr. Vaidya's,Address for Dr. Vaidya's,Description for Dr. Vaidya's,1936,66
Plush,Address for Plush,Description for Plush,1987,82
camry,Address for camry,Description for camry,2016,25
Chekko,Address for Chekko,Description for Chekko,2017,12
Pickwick ,Address for Pickwick ,Description for Pickwick ,1998,29
Filone,Address for Filone,Description for Filone,1956,20
Snacky,Address for Snacky,Description for Snacky,1978,27
Parksons,Address for Parksons,Description for Parksons,1924,37
Ice Berg,Address for Ice Berg,Description for Ice Berg,1912,26
Eco Fresh,Address for Eco Fresh,Description for Eco Fresh,2008,75
Moskito Safe,Address for Moskito Safe,Description for Moskito Safe,2003,10
Lays,Address for Lays,Description for Lays,1933,17
Kingfisher,Address for Kingfisher,Description for Kingfisher,1904,37
GOELD,Address for GOELD,Description for GOELD,1968,66
Mars,Address for Mars,Description for Mars,2001,8
Rorito,Address for Rorito,Description for Rorito,1950,21
Jaguar,Address for Jaguar,Description for Jaguar,1958,31
STAYFREE,Address for STAYFREE,Description for STAYFREE,1979,65
KINGSTA,Address for KINGSTA,Description for KINGSTA,1966,73
SBE,Address for SBE,Description for SBE,2017,36
Amante,Address for Amante,Description for Amante,1974,67
Desi,Address for Desi,Description for Desi,1942,54
Raja,Address for Raja,Description for Raja,1998,73
Rin,Address for Rin,Description for Rin,2019,52
Abzorb-It,Address for Abzorb-It,Description for Abzorb-It,2021,64
Olitalia,Address for Olitalia,Description for Olitalia,1956,20
Miss Claire,Address for Miss Claire,Description for Miss Claire,1906,4
MOM,Address for MOM,Description for MOM,2012,48
Tommy Hilfiger,Address for Tommy Hilfiger,Description for Tommy Hilfiger,1917,15
Tata Tea Kanan Devan,Address for Tata Tea Kanan Devan,Description for Tata Tea Kanan Devan,1970,96
Liberty,Address for Liberty,Description for Liberty,1903,37
RawNature,Address for RawNature,Description for RawNature,1976,46
Coco Cado,Address for Coco Cado,Description for Coco Cado,1993,84
La Vieja Fabrica,Address for La Vieja Fabrica,Description for La Vieja Fabrica,1941,94
Sampriti,Address for Sampriti,Description for Sampriti,1932,29
Nectar Valley,Address for Nectar Valley,Description for Nectar Valley,1957,61
Evo bond,Address for Evo bond,Description for Evo bond,1936,3
Harin,Address for Harin,Description for Harin,1995,92
UCOOK,Address for UCOOK,Description for UCOOK,1951,95
Nihar,Address for Nihar,Description for Nihar,1973,22
Pillsbury,Address for Pillsbury,Description for Pillsbury,1994,27
Kokos Natural,Address for Kokos Natural,Description for Kokos Natural,1921,84
Gone mad,Address for Gone mad,Description for Gone mad,1987,57
Post-It,Address for Post-It,Description for Post-It,1926,38
Prozo Plus,Address for Prozo Plus,Description for Prozo Plus,1999,28
Boost,Address for Boost,Description for Boost,1999,88
FAIR AND HANDSOME,Address for FAIR AND HANDSOME,Description for FAIR AND HANDSOME,1963,58
Gastone Lago,Address for Gastone Lago,Description for Gastone Lago,1921,23
Krack,Address for Krack,Description for Krack,1934,25
Agnesi,Address for Agnesi,Description for Agnesi,1949,57
Again,Address for Again,Description for Again,1989,67
Chizzpa,Address for Chizzpa,Description for Chizzpa,1953,98
Mediker,Address for Mediker,Description for Mediker,1975,98
Palmpure,Address for Palmpure,Description for Palmpure,2002,76
Pearlpet,Address for Pearlpet,Description for Pearlpet,1944,32
Kangaroo,Address for Kangaroo,Description for Kangaroo,1973,39
PureFoods,Address for PureFoods,Description for PureFoods,1997,50
Nxtgen Ayurveda,Address for Nxtgen Ayurveda,Description for Nxtgen Ayurveda,1975,88
Organicana,Address for Organicana,Description for Organicana,1996,56
Stationari+,Address for Stationari+,Description for Stationari+,2011,55
Tide,Address for Tide,Description for Tide,1911,81
Neo,Address for Neo,Description for Neo,1994,26
Syska,Address for Syska,Description for Syska,1983,3
Superware,Address for Superware,Description for Superware,1927,93
Ved A2,Address for Ved A2,Description for Ved A2,1939,57
Peppy,Address for Peppy,Description for Peppy,1936,10
Smoor,Address for Smoor,Description for Smoor,1903,69
BENGAMESE,Address for BENGAMESE,Description for BENGAMESE,1926,1
Lotus,Address for Lotus,Description for Lotus,1978,34
Ob,Address for Ob,Description for Ob,1952,51
Brewhouse Tea Brewing Co.,Address for Brewhouse Tea Brewing Co.,Description for Brewhouse Tea Brewing Co.,1933,58
Yashoda ,Address for Yashoda ,Description for Yashoda ,1946,56
Stute ,Address for Stute ,Description for Stute ,1975,29
Ciplaplast,Address for Ciplaplast,Description for Ciplaplast,1990,74
KM,Address for KM,Description for KM,2008,54
Bru ,Address for Bru ,Description for Bru ,1973,75
Snakart,Address for Snakart,Description for Snakart,2012,36
Chicnutrix,Address for Chicnutrix,Description for Chicnutrix,1951,54
Johnsons,Address for Johnsons,Description for Johnsons,1933,26
Plasto World,Address for Plasto World,Description for Plasto World,1953,56
Merba,Address for Merba,Description for Merba,1916,31
Zerobeli,Address for Zerobeli,Description for Zerobeli,1901,93
ACETONE,Address for ACETONE,Description for ACETONE,1906,89
Navya Food Art,Address for Navya Food Art,Description for Navya Food Art,1973,8
Natraj,Address for Natraj,Description for Natraj,1945,25
Kinley,Address for Kinley,Description for Kinley,1942,57
Fresho,Address for Fresho,Description for Fresho,1938,8
Cheetos,Address for Cheetos,Description for Cheetos,1947,41
Eco,Address for Eco,Description for Eco,1949,94
O,Address for O,Description for O,1993,63
Swarnanjali ,Address for Swarnanjali ,Description for Swarnanjali ,1990,45
American Pancake Co.,Address for American Pancake Co.,Description for American Pancake Co.,1960,89
Nataraj,Address for Nataraj,Description for Nataraj,1981,35
Sunpure ,Address for Sunpure ,Description for Sunpure ,1925,73
Pril,Address for Pril,Description for Pril,1969,30
R.E Camphor,Address for R.E Camphor,Description for R.E Camphor,1932,82
Fresh Ground,Address for Fresh Ground,Description for Fresh Ground,1929,84
Kurkure,Address for Kurkure,Description for Kurkure,2019,13
The August Co.,Address for The August Co.,Description for The August Co.,1921,57
Mom & World,Address for Mom & World,Description for Mom & World,2002,6
DaVinci Gourmet,Address for DaVinci Gourmet,Description for DaVinci Gourmet,1926,38
Kama Ayurveda,Address for Kama Ayurveda,Description for Kama Ayurveda,1975,44
Azad ,Address for Azad ,Description for Azad ,1995,62
Sakthi,Address for Sakthi,Description for Sakthi,1989,3
Dash,Address for Dash,Description for Dash,1977,22
Hup Seng,Address for Hup Seng,Description for Hup Seng,1949,90
Langnese,Address for Langnese,Description for Langnese,1963,0
Lipton ,Address for Lipton ,Description for Lipton ,1994,11
Smell Fresh,Address for Smell Fresh,Description for Smell Fresh,1989,64
Botanica,Address for Botanica,Description for Botanica,1908,91
Indomie,Address for Indomie,Description for Indomie,1998,49
Grami Superfoods,Address for Grami Superfoods,Description for Grami Superfoods,1959,34
Mr. Boss,Address for Mr. Boss,Description for Mr. Boss,1994,17
Soogo,Address for Soogo,Description for Soogo,1901,87
Simpkins ,Address for Simpkins ,Description for Simpkins ,1927,68
Red indian,Address for Red indian,Description for Red indian,2016,24
Picnic,Address for Picnic,Description for Picnic,1905,93
Vicks,Address for Vicks,Description for Vicks,1936,9
Wonder Fresh ,Address for Wonder Fresh ,Description for Wonder Fresh ,1981,47
Engine,Address for Engine,Description for Engine,1903,45
IMPACT,Address for IMPACT,Description for IMPACT,2020,44
Sidapur,Address for Sidapur,Description for Sidapur,1985,16
Bigen,Address for Bigen,Description for Bigen,1982,62
Livon Serum,Address for Livon Serum,Description for Livon Serum,2007,56
Intimus ,Address for Intimus ,Description for Intimus ,1910,29
Blv Fine Blend,Address for Blv Fine Blend,Description for Blv Fine Blend,1944,95
Command,Address for Command,Description for Command,1951,17
Nilons,Address for Nilons,Description for Nilons,1953,95
La Shield,Address for La Shield,Description for La Shield,1950,52
Mothers Maid,Address for Mothers Maid,Description for Mothers Maid,1962,70
Oddy ,Address for Oddy ,Description for Oddy ,2006,48
Lets Bite,Address for Lets Bite,Description for Lets Bite,1934,16
Flyberry,Address for Flyberry,Description for Flyberry,1926,94
Emami,Address for Emami,Description for Emami,1993,31
Viola,Address for Viola,Description for Viola,1988,67
Under The Mango Tree,Address for Under The Mango Tree,Description for Under The Mango Tree,1950,15
Scrubit,Address for Scrubit,Description for Scrubit,2018,91
Captain Zack,Address for Captain Zack,Description for Captain Zack,1907,55
Lotte,Address for Lotte,Description for Lotte,1987,49
Callesta,Address for Callesta,Description for Callesta,1955,79
Dezire,Address for Dezire,Description for Dezire,1993,85
Macclite,Address for Macclite,Description for Macclite,1956,21
Cardia,Address for Cardia,Description for Cardia,1908,42
Neesh,Address for Neesh,Description for Neesh,1938,56
bb Combo,Address for bb Combo,Description for bb Combo,1952,91
Cadbury Dairy Milk Silk,Address for Cadbury Dairy Milk Silk,Description for Cadbury Dairy Milk Silk,1978,4
Rage Coffee,Address for Rage Coffee,Description for Rage Coffee,1997,22
Luvlap,Address for Luvlap,Description for Luvlap,1988,67
Delight Nuts,Address for Delight Nuts,Description for Delight Nuts,1963,69
Rro,Address for Rro,Description for Rro,1958,86
Fresho Organic,Address for Fresho Organic,Description for Fresho Organic,1988,80
Rolex ,Address for Rolex ,Description for Rolex ,2009,82
Eno ,Address for Eno ,Description for Eno ,1966,78
Heineken,Address for Heineken,Description for Heineken,1925,0
Barber's Club,Address for Barber's Club,Description for Barber's Club,2012,38
Peesafe,Address for Peesafe,Description for Peesafe,1940,80
Thums Up,Address for Thums Up,Description for Thums Up,1938,27
Alpino,Address for Alpino,Description for Alpino,1908,2
IAMS,Address for IAMS,Description for IAMS,1963,71
Kinder Joy,Address for Kinder Joy,Description for Kinder Joy,1942,93
Narasus,Address for Narasus,Description for Narasus,2016,48
Blendy,Address for Blendy,Description for Blendy,1936,30
Subicsha,Address for Subicsha,Description for Subicsha,1977,97
Cookie Man,Address for Cookie Man,Description for Cookie Man,1913,2
NSH,Address for NSH,Description for NSH,1909,23
Threptin,Address for Threptin,Description for Threptin,2001,65
Black & Green,Address for Black & Green,Description for Black & Green,1959,68
Deli,Address for Deli,Description for Deli,1958,52
Goodmylk,Address for Goodmylk,Description for Goodmylk,1930,63
7 Up,Address for 7 Up,Description for 7 Up,2010,25
Premier,Address for Premier,Description for Premier,1972,32
Triones,Address for Triones,Description for Triones,1967,41
Qraa Men,Address for Qraa Men,Description for Qraa Men,1994,67
LiL'Goodness,Address for LiL'Goodness,Description for LiL'Goodness,1981,6
Fanta,Address for Fanta,Description for Fanta,2010,90
Nissin Food,Address for Nissin Food,Description for Nissin Food,1973,76
Kare Med,Address for Kare Med,Description for Kare Med,1934,57
Instafeast,Address for Instafeast,Description for Instafeast,2017,26
Papergrid,Address for Papergrid,Description for Papergrid,1951,9
ECO365,Address for ECO365,Description for ECO365,1956,17
Servewell,Address for Servewell,Description for Servewell,1979,13
Yagna,Address for Yagna,Description for Yagna,1968,50
Yum Yum,Address for Yum Yum,Description for Yum Yum,1939,88
Red Bull,Address for Red Bull,Description for Red Bull,1940,36
SOVI,Address for SOVI,Description for SOVI,1942,32
BB Home Herbal,Address for BB Home Herbal,Description for BB Home Herbal,1914,26
Jersey,Address for Jersey,Description for Jersey,1949,28
Temptations,Address for Temptations,Description for Temptations,2010,35
Vilvaa,Address for Vilvaa,Description for Vilvaa,1927,93
Sri Swastik,Address for Sri Swastik,Description for Sri Swastik,1999,13
Amul Slim,Address for Amul Slim,Description for Amul Slim,1996,2
Mr. Gold,Address for Mr. Gold,Description for Mr. Gold,2019,93
Aptamil,Address for Aptamil,Description for Aptamil,1910,63
Gourmets Delite ,Address for Gourmets Delite ,Description for Gourmets Delite ,1912,18
Secret Temptation,Address for Secret Temptation,Description for Secret Temptation,1974,48
Ujala,Address for Ujala,Description for Ujala,1918,55
HIT,Address for HIT,Description for HIT,1950,90
Royal Dansk,Address for Royal Dansk,Description for Royal Dansk,1950,5
Cocoacraft,Address for Cocoacraft,Description for Cocoacraft,1966,17
JK Copier,Address for JK Copier,Description for JK Copier,1965,68
LAXMI NARAYAN,Address for LAXMI NARAYAN,Description for LAXMI NARAYAN,1935,52
Doritos,Address for Doritos,Description for Doritos,1964,12
Kari Kari,Address for Kari Kari,Description for Kari Kari,1913,53
Dairy Craft,Address for Dairy Craft,Description for Dairy Craft,1901,94
Citrus Plus,Address for Citrus Plus,Description for Citrus Plus,1936,18
Sakurafresh,Address for Sakurafresh,Description for Sakurafresh,1922,59
Jai Veer,Address for Jai Veer,Description for Jai Veer,1958,66
Kiara Foods,Address for Kiara Foods,Description for Kiara Foods,1984,17
Harmony,Address for Harmony,Description for Harmony,1991,66
Brown & Polson,Address for Brown & Polson,Description for Brown & Polson,1904,47
Weiman,Address for Weiman,Description for Weiman,1907,61
Miller,Address for Miller,Description for Miller,1957,30
Super Smelly,Address for Super Smelly,Description for Super Smelly,2018,85
Trucrose,Address for Trucrose,Description for Trucrose,1932,42
Big D,Address for Big D,Description for Big D,1938,21
Beelicious ,Address for Beelicious ,Description for Beelicious ,1945,13
Wai Wai,Address for Wai Wai,Description for Wai Wai,1929,96
Amrutha,Address for Amrutha,Description for Amrutha,1948,42
TGL Co.,Address for TGL Co.,Description for TGL Co.,1987,26
Ambriona,Address for Ambriona,Description for Ambriona,1918,53
Odomos,Address for Odomos,Description for Odomos,2004,45
Om Bhakti,Address for Om Bhakti,Description for Om Bhakti,1927,22
Oasis,Address for Oasis,Description for Oasis,2021,54
LISO,Address for LISO,Description for LISO,1959,64
Hamdard,Address for Hamdard,Description for Hamdard,1928,90
Dae Chun Gim,Address for Dae Chun Gim,Description for Dae Chun Gim,1941,94
Micks,Address for Micks,Description for Micks,1986,51
Samvruddhi,Address for Samvruddhi,Description for Samvruddhi,1987,23
Betty Crocker,Address for Betty Crocker,Description for Betty Crocker,1990,73
KeepSafe by Marico,Address for KeepSafe by Marico,Description for KeepSafe by Marico,1912,66
Parachase,Address for Parachase,Description for Parachase,1938,67
Godrej Jersey,Address for Godrej Jersey,Description for Godrej Jersey,1999,74
Crax,Address for Crax,Description for Crax,1945,65
Montavo,Address for Montavo,Description for Montavo,2005,3
Sofy,Address for Sofy,Description for Sofy,2006,75
Bayars,Address for Bayars,Description for Bayars,1995,69
Nature Valley,Address for Nature Valley,Description for Nature Valley,2007,67
Dkny,Address for Dkny,Description for Dkny,1927,49
MOOZ,Address for MOOZ,Description for MOOZ,1959,47
Nautica,Address for Nautica,Description for Nautica,2021,65
Feel Fresh,Address for Feel Fresh,Description for Feel Fresh,1948,29
Hindalco,Address for Hindalco,Description for Hindalco,1997,83
Ezee ,Address for Ezee ,Description for Ezee ,2009,57
Fiama Di Wills,Address for Fiama Di Wills,Description for Fiama Di Wills,1958,7
Dabur Amla,Address for Dabur Amla,Description for Dabur Amla,2006,62
Moksh,Address for Moksh,Description for Moksh,1950,25
Mackays,Address for Mackays,Description for Mackays,1951,69
Similac,Address for Similac,Description for Similac,1932,50
Yan Yan ,Address for Yan Yan ,Description for Yan Yan ,1965,21
Evaflor,Address for Evaflor,Description for Evaflor,2005,66
LimeLite,Address for LimeLite,Description for LimeLite,2007,11
FruitTreat,Address for FruitTreat,Description for FruitTreat,2000,16
Godrej Aer,Address for Godrej Aer,Description for Godrej Aer,1944,5
Pepsi,Address for Pepsi,Description for Pepsi,1936,32
Smint,Address for Smint,Description for Smint,1912,15
Cadbury Bournville,Address for Cadbury Bournville,Description for Cadbury Bournville,1972,39
GOPURAM,Address for GOPURAM,Description for GOPURAM,1992,20
Riseup,Address for Riseup,Description for Riseup,1957,0
Nutraj,Address for Nutraj,Description for Nutraj,1920,77
Zandu,Address for Zandu,Description for Zandu,1938,70
IN2,Address for IN2,Description for IN2,1944,54
Maryaj,Address for Maryaj,Description for Maryaj,1968,38
Tasty Fresh,Address for Tasty Fresh,Description for Tasty Fresh,1919,4
Beverly Hills Polo Club,Address for Beverly Hills Polo Club,Description for Beverly Hills Polo Club,1939,83
Blue Diamond,Address for Blue Diamond,Description for Blue Diamond,1903,51
Catche,Address for Catche,Description for Catche,1936,71
Tri-Activ,Address for Tri-Activ,Description for Tri-Activ,1983,79
Ammi Samayal,Address for Ammi Samayal,Description for Ammi Samayal,1931,5
Happydent ,Address for Happydent ,Description for Happydent ,1911,59
Bisleri ,Address for Bisleri ,Description for Bisleri ,1915,61
Asthagandha,Address for Asthagandha,Description for Asthagandha,1968,86
Maltova,Address for Maltova,Description for Maltova,1919,44
Mom's InstaCook,Address for Mom's InstaCook,Description for Mom's InstaCook,1978,33
Sowbhagya foods,Address for Sowbhagya foods,Description for Sowbhagya foods,1957,97
Morelight,Address for Morelight,Description for Morelight,1972,7
R.K,Address for R.K,Description for R.K,1990,75
Vaadi,Address for Vaadi,Description for Vaadi,1916,9
Seni,Address for Seni,Description for Seni,1906,39
Mr Muscle,Address for Mr Muscle,Description for Mr Muscle,2004,52
Aquawhite,Address for Aquawhite,Description for Aquawhite,1915,71
Freshee,Address for Freshee,Description for Freshee,1941,50
Delishh,Address for Delishh,Description for Delishh,1991,25
Choc Coin,Address for Choc Coin,Description for Choc Coin,1946,38
Levista,Address for Levista,Description for Levista,1946,71
Soyvita,Address for Soyvita,Description for Soyvita,1924,68
Raho Safe,Address for Raho Safe,Description for Raho Safe,1951,19
Pavizham,Address for Pavizham,Description for Pavizham,2018,3
ZM LABS,Address for ZM LABS,Description for ZM LABS,1936,9
BIKA,Address for BIKA,Description for BIKA,1969,97
iD Fresh,Address for iD Fresh,Description for iD Fresh,1905,49
Shower To Shower,Address for Shower To Shower,Description for Shower To Shower,2008,32
Homio,Address for Homio,Description for Homio,1901,77
Plum,Address for Plum,Description for Plum,1991,24
Khadi Essentials,Address for Khadi Essentials,Description for Khadi Essentials,1913,89
Fa,Address for Fa,Description for Fa,1923,25
Munchkin,Address for Munchkin,Description for Munchkin,1986,72
Bloo,Address for Bloo,Description for Bloo,1998,25
Briyas,Address for Briyas,Description for Briyas,1939,22
Tropicana,Address for Tropicana,Description for Tropicana,2005,58
Appy ,Address for Appy ,Description for Appy ,1910,44
TATA Q,Address for TATA Q,Description for TATA Q,2020,72
Dizzle,Address for Dizzle,Description for Dizzle,1988,34
Urban Terra,Address for Urban Terra,Description for Urban Terra,2007,21
Pearl Luxury,Address for Pearl Luxury,Description for Pearl Luxury,1952,24
Iba,Address for Iba,Description for Iba,1937,8
The Laughing Cow,Address for The Laughing Cow,Description for The Laughing Cow,1930,18
Shankar Namkeen,Address for Shankar Namkeen,Description for Shankar Namkeen,1944,75
Tasty Tales,Address for Tasty Tales,Description for Tasty Tales,2003,91
Akar,Address for Akar,Description for Akar,1945,69
Til Sona,Address for Til Sona,Description for Til Sona,1949,75
Fryums,Address for Fryums,Description for Fryums,1930,54
Nuface Ultra,Address for Nuface Ultra,Description for Nuface Ultra,1996,51
Mapro,Address for Mapro,Description for Mapro,1983,81
Appy Fizz,Address for Appy Fizz,Description for Appy Fizz,1993,89
Live Yum,Address for Live Yum,Description for Live Yum,1900,23
Vijay,Address for Vijay,Description for Vijay,1973,19
TYDIBOWL,Address for TYDIBOWL,Description for TYDIBOWL,1944,76
Eastern jackfruit365,Address for Eastern jackfruit365,Description for Eastern jackfruit365,1967,77
Jovan,Address for Jovan,Description for Jovan,2020,1
Red Label,Address for Red Label,Description for Red Label,1975,26
Rslee,Address for Rslee,Description for Rslee,1981,57
Toblerone,Address for Toblerone,Description for Toblerone,1917,38
Ambika,Address for Ambika,Description for Ambika,2017,69
Astonish,Address for Astonish,Description for Astonish,1989,5
Mrs Bector'S Cremica,Address for Mrs Bector'S Cremica,Description for Mrs Bector'S Cremica,1966,10
Tiger Balm,Address for Tiger Balm,Description for Tiger Balm,1906,99
Marshmelts,Address for Marshmelts,Description for Marshmelts,1900,85
Hoegaarden 0.0,Address for Hoegaarden 0.0,Description for Hoegaarden 0.0,1957,9
Bindu,Address for Bindu,Description for Bindu,1961,82
EASY COFFEE,Address for EASY COFFEE,Description for EASY COFFEE,1912,11
Raw Pressery,Address for Raw Pressery,Description for Raw Pressery,1972,54
Bare Essentials,Address for Bare Essentials,Description for Bare Essentials,1919,86
Lexton,Address for Lexton,Description for Lexton,2013,46
MOJO THINS,Address for MOJO THINS,Description for MOJO THINS,1937,75
Acnes,Address for Acnes,Description for Acnes,1932,53
Love & Care,Address for Love & Care,Description for Love & Care,1907,84
Pushpanjali ,Address for Pushpanjali ,Description for Pushpanjali ,1986,87
M&M's,Address for M&M's,Description for M&M's,1993,39
Ziva,Address for Ziva,Description for Ziva,1962,84
Trents,Address for Trents,Description for Trents,1919,17
Amul Pro,Address for Amul Pro,Description for Amul Pro,1962,97
Monster,Address for Monster,Description for Monster,2018,0
Godrej Professional,Address for Godrej Professional,Description for Godrej Professional,1939,89
Scotchgard,Address for Scotchgard,Description for Scotchgard,1947,71
Bodygard,Address for Bodygard,Description for Bodygard,2019,33
India Circus,Address for India Circus,Description for India Circus,1991,78
Paperkraft,Address for Paperkraft,Description for Paperkraft,1944,2
Guess,Address for Guess,Description for Guess,1924,53
Godrej Expert,Address for Godrej Expert,Description for Godrej Expert,1912,45
Diyaz,Address for Diyaz,Description for Diyaz,1973,3
Apsara,Address for Apsara,Description for Apsara,1959,56
Prasuma,Address for Prasuma,Description for Prasuma,2009,76
Manna Go Grains,Address for Manna Go Grains,Description for Manna Go Grains,1938,91
PRAVIN MIXBOX,Address for PRAVIN MIXBOX,Description for PRAVIN MIXBOX,1997,3
Swati Khadi,Address for Swati Khadi,Description for Swati Khadi,2001,51
137 Degree,Address for 137 Degree,Description for 137 Degree,1956,93
Sattuz,Address for Sattuz,Description for Sattuz,1965,2
ZOROY,Address for ZOROY,Description for ZOROY,2017,16
Pinnacle,Address for Pinnacle,Description for Pinnacle,1949,91
Savera,Address for Savera,Description for Savera,1964,2
NIC,Address for NIC,Description for NIC,1994,83
Chappi,Address for Chappi,Description for Chappi,1935,31
Cascina Belvedere,Address for Cascina Belvedere,Description for Cascina Belvedere,2010,29
Grabenord,Address for Grabenord,Description for Grabenord,1987,10
Cothas Coffee,Address for Cothas Coffee,Description for Cothas Coffee,1918,8
Coco Soul,Address for Coco Soul,Description for Coco Soul,1990,53
Fairkraft Creations,Address for Fairkraft Creations,Description for Fairkraft Creations,1966,66
Bhikharam chandmal,Address for Bhikharam chandmal,Description for Bhikharam chandmal,1904,5
Fisherman's Friend,Address for Fisherman's Friend,Description for Fisherman's Friend,1919,71
SANIFRESH,Address for SANIFRESH,Description for SANIFRESH,1998,33
Dhampur Green,Address for Dhampur Green,Description for Dhampur Green,1964,67
Indira's,Address for Indira's,Description for Indira's,1946,69
Bakersveggie,Address for Bakersveggie,Description for Bakersveggie,1913,18
Robin,Address for Robin,Description for Robin,1951,84
Hair & Care,Address for Hair & Care,Description for Hair & Care,1916,70
All Good Scents,Address for All Good Scents,Description for All Good Scents,1978,94
Pure Wipes,Address for Pure Wipes,Description for Pure Wipes,1911,22
FRISTTEE,Address for FRISTTEE,Description for FRISTTEE,1908,75
Yellow Crumb,Address for Yellow Crumb,Description for Yellow Crumb,1945,31
